;Identificador;ct_clacul;ct_prepa_suelo;ct_k510h;ct_k511h;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_pqui;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
13030;12085102110190001;507;2;6;6;2;2; ;0;1; ;2645,52; ; ;6;1;24;3;24;2;12;3;6;16,36363636;16,36363636
13032;12085102110190002;507;2;5;5;2;2; ;0;1; ;2204,6; ; ;5;1;20;3;20;2;10;3;5;14,54545455;6,81818182
13034;12085102110190003;507;2;3,528;3,528;2;2; ;0;1; ;1653,45;1653,45; ;3,528;1;10;2;7,5;3;5;3;3,528;18,18181818;8,63636364
13037;12085102110190005;507;2;1,4112;1,4112;2;2; ;0;1; ;881,84; ; ;1,4112;1;8;3;8;2;4;3;1,4112;5,45454545;5
13040;12085102110190006;507;2;6,3504;6,3504;2;2; ;0;1; ;330,69; ; ;6,3504;1;36;3;36;2;18;3;6,3504;23,63636364;11,81818182
13044;12085102110190008;507;2;2,1168;2,1168;2;2; ;0;1; ;440,92;440,92;440,92;2,1168;1;6;2;18;3;4,5;3;2,1168;6,81818182;6,36363636
13046;12085102110190008;507;2;,7056;,7056;2;2; ;0;1; ;220,46;220,46;220,46;,7056;1;2;2;6;3;1,5;3;,7056;2,72727273;2,27272727
13047;12085102110190009;507;2;4;4;2;2; ;0;1; ;1763,68; ; ;4;1;16;3;16;2;8;3;4;10,90909091;5
13050;12085102110190010;507;1;,7056;,7056;2;2; ;0;1; ;220,46;220,46;220,46;,7056;1;2;3;1,5;2;1,5;3;,7056;3,18181818;1,36363636
13052;12085102110190011;507;2;2,1168;2,1168;2;2; ;0;1; ;661,38;661,38;661,38;2,1168;1;6;2;4,5;3;3;3;2,1168;9,54545455;4,54545455
13054;12085102110190012;507;2;1,4112;1,4112;1;2; ;0;1; ;881,84; ;220,46;1,4112;1;,5;2; ; ;1;2;1,4112;5;1,81818182
13056;12085102110190013;507;2;3,528;3,528;2;2; ;0;1; ;1653,45;1102,3;1102,3;3,528;1;10;2;15;3;10;3;3,528;9,09090909;4,09090909
13059;12085102113480006;507;2;,25;,25;2;2; ;0;1;.25; ; ; ;,25;1;1;3;,25;4; ; ;,25;1,09090909; 
13060;12085102113480010;507;2;1;1;2;2; ;0;1;200,0; ; ; ;1;1;1;3; ; ; ; ;1;2,32954545;2,32954545
13062;12085102113480019;507;1;1,0584;1,0584;2;2; ;0;1;661,38; ; ; ;1,0584;1;1;2;1;2;2;2;1,0584;6,68181818;2,95454545
13063;12085102113480021;507;2;2,5;2,5;2;2; ;0;1;300,0; ; ; ;2,5;1;2;4;1,5;4; ; ;2,5;7,45454545; 
13065;12085102113480029;507;1;,5;,5;1;2; ;0;1; ;220,46; ; ;,5;1;1;2;2;2; ; ;,5;1,8;,59090909
13066;12085151000993398;507;2;60;60;6;2; ;0;1; ;19841,4; ; ;60;1;20;3;60;3; ; ;60;196,36363636;196,36363636
13070;12085152000990314;507;2;30;30;6;2; ;0;1;9920,7; ; ; ;30;1;40;3;20;3; ; ;30;210;210
